block,anonymous,xref,has_attrs
_ArchTick,0,0,0
_DOT,0,0,0
DOT,0,0,0
A$C153C7E87,0,0,0
A$C390C0F3E,0,0,0
A$C00990124,0,0,0
A$C16A1683D,0,0,0
Tonkin_Door0203S1_90x227_P_DB,0,0,0
Tonkin_Door01S1_75x227_P_DB,0,0,0
*U9,1,0,0
*U10,1,0,0
A$C00AC356E,0,0,0
*U12,1,0,0
*U13,1,0,0
A$C198C25FF,0,0,0
A$C6A49007C,0,0,0
*U16,1,0,0
*U17,1,0,0
A$C104450DD,0,0,0
A$C03757FA6,0,0,0
*U20,1,0,0
*U21,1,0,0
B_MBT2,0,0,0
Axis,0,0,1
A$C138A4DDC,0,0,0
A$C11140532,0,0,0
trucdsfsf,0,0,0
A$C1C835FD0,0,0,0
A$C019E501F,0,0,0
A$C05183D64,0,0,0
NT t 1,0,0,0
HT TANG 1,0,0,0
*D32,1,0,0
B_MBT1,0,0,0
*U34,1,0,0
*U35,1,0,0
*U36,1,0,0
*U37,1,0,0
*U38,1,0,0
*U39,1,0,0
*U40,1,0,0
A$C4FC20CAE,0,0,0
A$C2C866506,0,0,0
A$C472E0DA3,0,0,0
A$C7DD74135,0,0,0
cutdenhatD90,0,0,1
*U46,1,0,1
A$C5B3E781F,0,0,0
A$C79F93700,0,0,0
A$C35BE09CB,0,0,0
A$C43784C37,0,0,0
A$C26800C0C,0,0,0
A$C2EDB163E,0,0,0
A$C569E0837,0,0,0
A$C22FF6FE3,0,0,0
A$C606E2768,0,0,0
chechdenhatD90,0,0,1
*U57,1,0,1
*U58,1,0,1
A$C41BF49AA,0,0,0
A$C3D5C220C,0,0,0
A$C2E012B44,0,0,0
A$C2F3E4666,0,0,0
A$C68BF00DC,0,0,0
A$C204E6D94,0,0,0
A$C39F60976,0,0,0
A$C42832589,0,0,0
A$C5E213232,0,0,0
A$C3C112361,0,0,0
A$C4B661B91,0,0,0
A$C088547F6,0,0,0
A$C61287C72,0,0,0
A$C19F53290,0,0,0
A$C25463B28,0,0,0
A$C5C8D16C5,0,0,0
A$C41420A46,0,0,0
A$C50A30495,0,0,0
A$C6E02387E,0,0,0
A$C73D50EE7,0,0,0
chechdenhatD110,0,0,1
*U80,1,0,1
*U81,1,0,1
*U82,1,0,1
*U83,1,0,1
*U84,1,0,1
*U85,1,0,1
*U86,1,0,1
*U87,1,0,1
*U88,1,0,1
*U89,1,0,1
*U90,1,0,1
A$C62841047,0,0,0
A$C5B8C7C8A,0,0,0
A$C30CE4F9A,0,0,0
A$C06E155DE,0,0,0
A$C1ED02F8A,0,0,0
A$C614653C0,0,0,0
A$C587E7AD3,0,0,0
A$C23CC440B,0,0,0
A$C66985325,0,0,0
A$C055C1E30,0,0,0
A$C708A139F,0,0,0
A$C56F73FE4,0,0,0
A$C05FE1EA7,0,0,0
A$C3C330723,0,0,0
A$C5BEA7DA3,0,0,0
A$C3C9159A0,0,0,0
chechdenhatD140,0,0,1
*U108,1,0,1
*U109,1,0,1
*U110,1,0,1
*U111,1,0,1
_Oblique,0,0,0
A3-1-1-ISO3TGROUP,0,0,1
QUANG,0,0,0
A$C76CC717B,0,0,0
A$C652C024D,0,0,0
A$C631D1DD4,0,0,0
A$C00905384,0,0,0
A$C1FEC3F33,0,0,0
A$C7C8A6300,0,0,0
A$C45730A1A,0,0,0
A$C60D44E7B,0,0,0
chechdenhatD125,0,0,1
*U124,1,0,1
*U125,1,0,1
*U126,1,0,1
*U127,1,0,1
*U128,1,0,1
*U129,1,0,1
A$C7CC7412C,0,0,0
A$C487C38B8,0,0,0
A$C777B26EE,0,0,0
A$C58A423C0,0,0,0
A$C19B209B6,0,0,0
A$C23490D16,0,0,0
ytienphongthoatD140x90,0,0,1
A$C45B25161,0,0,0
A$C7BB372C1,0,0,0
A$C547E2FEA,0,0,0
A$C5E16483F,0,0,0
A$C5FFA0C55,0,0,0
A$C6C0D25B3,0,0,0
ytienphongthoatD90x90,0,0,1
A$C3B1E539B,0,0,0
A$C692A1B37,0,0,0
A$C2C970620,0,0,0
A$C78A337DF,0,0,0
A$C699617EE,0,0,0
A$C4ADB3594,0,0,0
ytienphongthoatD140x140,0,0,1
A$C61F20CC6,0,0,0
A$C3A4D6160,0,0,0
A$C38074D19,0,0,0
A$C776F22BF,0,0,0
A$C52A8511C,0,0,0
A$C0DA60DE9,0,0,0
ytienphongthoatD125x125,0,0,1
*U158,1,0,1
*U159,1,0,1
RED-125x100(SIDE)DN,0,0,0
RED-125x100(UP45)DN,0,0,0
RED-125x100(SDN45)DN,0,0,0
REDUCE 125X100,0,0,0
*U164,1,0,1
A$C7E0D5E83,0,0,0
A$C02905D31,0,0,0
contienphongthoatD125x90,0,0,1
*U168,1,0,1
*U169,1,0,1
*U170,1,0,1
*U171,1,0,1
*U172,1,0,1
*U173,1,0,1
A$C1E74648A,0,0,0
A$C207D52D6,0,0,0
A$C78A05935,0,0,0
A$C1F240E49,0,0,0
cutdenhatD125,0,0,1
*U179,1,0,1
*U180,1,0,1
B_HienTrang,0,0,0
*U182,1,0,1
*U183,1,0,1
*U184,1,0,1
*U185,1,0,1
*U186,1,0,1
*U187,1,0,1
*D188,1,0,0
*D189,1,0,0
*D190,1,0,0
*D191,1,0,0
*D192,1,0,0
*D193,1,0,0
*D194,1,0,0
*D195,1,0,0
*D196,1,0,0
*D197,1,0,0
*D198,1,0,0
*D199,1,0,0
ky hieu cat2,0,0,0
*U201,1,0,0
*U202,1,0,0
*U203,1,0,1
*U204,1,0,1
*U205,1,0,0
*U206,1,0,1
*U207,1,0,1
A$C3BE432FD,0,0,0
A$C5C061534,0,0,0
A$C0B917C3B,0,0,0
A$C62F35842,0,0,0
A$C58D60DC1,0,0,0
A$C749F3327,0,0,0
A$C25215D93,0,0,0
ytienphongthoatD90x60,0,0,1
Coupling-D90,0,0,0
*U217,1,0,1
*U218,1,0,1
*U219,1,0,1
*U220,1,0,1
*U221,1,0,0
*U222,1,0,1
*U223,1,0,1
A$C554B6CFA,0,0,0
A$C33BD1784,0,0,0
A$C449B6739,0,0,0
A$C400E2A54,0,0,0
A$C260F169A,0,0,0
A$C7557289D,0,0,0
A$C38972287,0,0,0
A$C5B5E2194,0,0,0
A$C40717C2B,0,0,0
A$C784A6BB1,0,0,0
A$C480269D9,0,0,0
chechdenhatD49,0,0,1
*U236,1,0,1
Co100(Side)DN,0,0,0
Co100(Top)DN,0,0,0
Co100(Top45)DN,0,0,0
Co100(DN),0,0,0
Co80(Side)DN,0,0,0
Co80(Top)DN,0,0,0
Co80(Top45)DN,0,0,0
Co80(DN),0,0,0
*D245,1,0,0
*U246,1,0,1
*U247,1,0,1
*U248,1,0,1
*U249,1,0,1
*U250,1,0,1
A$C173423EE,0,0,0
A$C4636458B,0,0,0
A$C07741D03,0,0,0
A$C7E8B7035,0,0,0
A$C24206575,0,0,0
A$C62A22B72,0,0,0
ytienphongthoatD125x110,0,0,1
*U258,1,0,1
*U259,1,0,1
*U260,1,0,1
*U261,1,0,1
*U262,1,0,1
*U263,1,0,1
*U264,1,0,1
*U265,1,0,1
*D266,1,0,0
*D267,1,0,0
*D268,1,0,0
*D269,1,0,0
*D270,1,0,0
*D271,1,0,0
*D272,1,0,0
*D273,1,0,0
*D274,1,0,0
*D275,1,0,0
*D276,1,0,0
*D277,1,0,0
*D278,1,0,0
*D279,1,0,0
*D280,1,0,0
*D281,1,0,0
*D282,1,0,0
*D283,1,0,0
*D284,1,0,0
*D285,1,0,0
*D286,1,0,0
*D287,1,0,0
*D288,1,0,0
*D289,1,0,0
*U290,1,0,1
*U291,1,0,1
*U292,1,0,1
*U293,1,0,1
Co125(Side)DN,0,0,0
Co125(Top)DN,0,0,0
Co125(Top45)DN,0,0,0
Co125(DN),0,0,0
*U298,1,0,0
*U299,1,0,1
A$C031C76BF,0,0,0
A$C5E8567C5,0,0,0
contienphongthoatD75x42,0,0,1
Con thu 125-42,0,0,1
A$C4CA9183A,0,0,0
A$C40E329AA,0,0,0
A$C61392585,0,0,0
A$C76C92F1B,0,0,0
A$C53003BDB,0,0,0
A$C09A04D80,0,0,0
A$C48193DC6,0,0,0
A$C56E62929,0,0,0
chechdenhatD42,0,0,1
*U313,1,0,1
*U314,1,0,1
*D315,1,0,0
*D316,1,0,0
*D317,1,0,0
*D320,1,0,0
*U321,1,0,1
*U322,1,0,1
B_ThoatRua_Tang1,0,0,0
B_ThoatXi_Tang1,0,0,0
*U325,1,0,1
*U326,1,0,1
*U327,1,0,1
A$C458F190D,0,0,0
A$C708E553E,0,0,0
A$C2F3E6C3A,0,0,0
A$C22E27C51,0,0,0
cutdenhatD110,0,0,1
*U333,1,0,1
*U334,1,0,1
YQTICK,0,0,0
*D336,1,0,0
*D337,1,0,0
*D338,1,0,0
*D339,1,0,0
*D340,1,0,0
*D341,1,0,0
*D342,1,0,0
*D343,1,0,0
*D344,1,0,0
*D345,1,0,0
*D346,1,0,0
*D347,1,0,0
LOGO,0,0,0
A$C1BAB2EA3,0,0,0
