handle,type,layer,block,color,linetype,closed,radius,text,tag,x,y
2204,VIEWPORT,0,,BYLAYER,,,,,,,
10485,VIEWPORT,Defpoints,,BYLAYER,,,,,,,
12179,TEXT,DCCD-text,,BYLAYER,,,,%%UKÝ HI\U+1EC6U,,309.586,25.634
1217D,TEXT,DCCD-text,,BYLAYER,,,,%%UKÝ HI\U+1EC6U,,309.586,25.634
1217E,TEXT,DCCD-text,,BYLAYER,,,,èng tho¸t n­íc xÝ,,330.661,19.242
1217F,TEXT,DCCD-text,,BYLAYER,,,,èng tho¸t n­íc röa,,330.661,15.499
12180,TEXT,DCCD-text,,BYLAYER,,,,- èNG THO¸T N¦íC SÏ §¦îC BäC B¶O ¤N TI£U ¢M DµY 25MM.,,309.042,10.371
12181,MLINE,P-ThoatRua,,BYLAYER,,,0.900,,,309.384,16.498
12182,MLINE,P-ThoatXi,,BYLAYER,,,0.900,,,309.384,19.984
1FC17,INSERT,0,A3-1-1-ISO3TGROUP,250,,,,,,0.000,0.000
1FC18,ATTRIB,0,,BYLAYER,,,,,DD/MM/YYYY,384.000,280.000
1FC19,ATTRIB,0,,BYLAYER,,,,,...........HDTV,384.000,283.000
1FC1A,ATTRIB,0,,BYLAYER,,,,              5/2026,XX/YY/ZZZZ,390.000,9.000
1FC1B,ATTRIB,0,,BYLAYER,,,,ME-TN-T01,KHBV,378.405,15.000
1FC1C,ATTRIB,0,,BYLAYER,,,,M\U+1EB6T B\U+1EB0NG H\U+1EC6 TH\U+1ED0NG,TENBANVE1,370.791,31.238
1FC1E,ATTRIB,0,,BYLAYER,,,,,KIENTRUC1-ARCHITECTURE,385.170,60.158
1FC20,ATTRIB,0,,BYLAYER,,,,KTS. TÔ XUÂN SANG,VE2,365.803,64.927
1FC22,ATTRIB,0,,BYLAYER,,,,KTS. LÊ THANH LONG,VE1,365.803,79.927
1FC24,ATTRIB,0,,BYLAYER,,,,KTS. LÊ TR\U+1ECCNG HI\U+1EBEU,THIETKE,365.803,95.045
1FC26,ATTRIB,0,,BYLAYER,,,,KTS. LÊ TR\U+1ECCNG HI\U+1EBEU,CHUTRIBOMON,365.803,110.045
1FC28,ATTRIB,0,,BYLAYER,,,,,CHUNHIEM,366.000,125.158
1FC2A,SEQEND,0,,250,,,,,,,
3007,INSERT,RSA -HACK,B_MBT2,BYLAYER,,,,,,-3747546.627,-1041540.316
6129,INSERT,RSA -HACK,B_MBT1,BYLAYER,,,,,,-3800391.458,-1041540.316
638B,INSERT,P-ThoatRua,*U46,BYLAYER,,,,,,-3731272.230,-1055441.406
638C,ATTRIB,0,,BYLAYER,,,,"Cút, PPR, DN90",CUTDENHAT,-3731272.230,-1055441.406
638D,SEQEND,P-ThoatRua,,BYLAYER,,,,,,,
65D4,INSERT,P-ThoatRua,*U57,BYLAYER,,,,,,-3731272.230,-1055441.406
