block,count
B_MBT2,1
*U46,1
*U57,1
*U58,1
chechdenhatD90,2
*U80,1
*U81,1
*U82,2
*U83,1
*U84,1
*U85,1
*U86,1
*U87,1
*U88,1
*U89,1
*U90,1
*U108,1
*U109,2
*U110,1
*U111,1
*U124,1
*U125,1
*U126,1
*U127,1
*U128,1
*U129,1
*U158,1
*U159,1
*U164,1
*U168,1
*U169,1
*U170,1
*U171,1
*U185,1
*U186,1
*U187,1
*U259,1
*U249,1
*U250,1
*U258,1
*U260,1
*U261,1
*U262,1
*U263,1
*U264,1
*U265,1
*U290,1
*U291,1
*U292,2
*U293,1
*U298,1
*U299,1
Con thu 125-42,1
*U201,3
*U202,2
*U203,2
*U204,2
*U206,2
Coupling-D90,2
*U217,2
*U218,2
*U219,2
*U220,2
*U221,4
*U222,2
*U223,2
*U236,2
*U207,4
Co80(DN),2
*U246,2
*U248,2
*U247,2
*U205,4
B_HienTrang,2
B_ThoatRua_Tang1,2
*U313,3
*U314,3
B_MBT1,3
B_ThoatXi_Tang1,2
A3-1-1-ISO3TGROUP,8
